Singular;Plural;genero;traducción
Licht;Lichter;n;luz
Mül;Mül;m;basura
Miete;Mieten;f;inquilino
Quadrameter;Quadrameter;m;metro cuadrado
Nachbar;Nachbarn;n;vecino
Vermieter;Vermieter;n;casero
Turm;Türm;m;torre
Rathaus;Rathäuse;n;ayuntamiento
Geschäf;Geschafte;n;tienda
schule;schule;f;colegio
Hafen;Häfe;m;puerto
Fluss;Flüss;m;río
Meer;Meere;m;mar
Kirche;Kirchen;f;iglesia
Mark;Märkt;m;mercado
Laden;Läde;m;tienda
Jugenherberge;Jugenherbergen;f;albergue juvenil
Park;Parks;m;parque
See;See;f;mar
Schloss;Schösse;n;palacio
Kindergarten;Kindergärte;m;guardería
Spielplatz;Spielplätz;m;parque infantil
Bibliotek;Biblioteken;f;biblioteca
Wald;Wälde;m;bosque
See;Seen;m;lago
Ausstellung;Ausstellungen;f;exposición
Disco;Discos;f;discoteca
Museum;Museen;n;museo
Schwimmbad;Schwimmbäde;n;piscina
Zentrum;Zentren;n;centro
Brück;Brücke;f;puente
Bar;Bars;f;bar
Kneipe;Kneipen;f;bar
Restaurant;Restaurants;n;restaurante
Hochschule;Hochschulen;f;universidad
Dom;Dome;m;catedral
Caf�;Café;n;cafeterí
Konzert;Konzerte;n;concierto
Theater;Theater;n;teatro
Stadmitte;Stadmitte;f;centro
Ampel;Ampel;f;semáforo
Bahnhof;Banhofe;m;estación
Halt;Halte;m;parada
Flughafen;Flughäfe;m;aeropuerto
S-bahn;S-bahnen;f;tren interurbano
Straβebah;Straβebahne;f;tranvía
Motorrad;Motorräde;n;motocicleta
Plastiktüt;Plastiktüte;f;bolsa de plástico
Bahnsteig;Bahnsteige;m;andén
Haltestelle;Haltestellen;f;parada de bus
Flugzeug;Flugzeuge;n;avión
U-bahn;U-bahnen;f;metro
Taxi;Taxis;n;taxi
Schiff;Schiffe;n;embarcación
Bus;Busse;m;bus
Gleis;Gleise;n;vía
Gepäc;Gepäc;n;equipaje
Koffer;Koffer;m;maleta
Zug;Züg;m;tren
Fahrrad;Fahrräde;n;bici
Ruckseck;Rucksäck;f;mochila
Fleisch;Fleisch;n;carne
Rindfleisch;Rindfleisch;n;vacuno
Hähnche;Hähnche;n;pollo
Wurst;Wurst;f;embutido
Schinken;Schinken;n;jamón
Scheweinefleisch;Schweinefleisch;n;cerdo
Ente;Enten;f;pato
Ei;Eier;n;huevo
Lammfleisch;Lammfleish;n;cordero
Gans;Ganse;f;ganso
Braten;Braten;m;asado
Wasser;Wasser;n;agua
Wein;Weine;m;vino
Erfrischungsgetrank;Erfrischungsgetranke;n;refresco
Tee;Tee;m;té
Mineralwasser;Mineralwasser;n;agua mineral
Kaffe;Kaffe;m;café
Milch;Milch;f;leche
Bier;Biere;n;cerveza
Apfelsaft;Apfelsaft;m;zumo manzana
Orangesaft;Orangesaft;m;zumo naranja
Fisch;Fische;m;pescado
Thunfisch;Thunfisch;m;atún
Heering;Heering;m;arenque
Lauchs;Lauchs;m;salmón
Kabeljau;kabeljaus;m;bacalao
Forelle;Forellen;f;trucha
Schokolade;Schokoladen;f;chocolate
Butter;Butter;f;mantequilla
Zucker;Zucker;m;azucar
Speisekarte;Speisekarten;f;menú
Kuchen;Kuchen;m;pastel
Käs;Käse;m;queso
Pfannkuchen;Pfannkuchen;m;tortita
Brötche;Brötche;n;bollo
Brot;Brote;n;pan
Mehl;Mehle;n;harina
Salz;Salze;n;sal
Gemuse;Gemuse;n;verduras
Kartoffel;kartoffeln;f;patata
Zwiebel;Zwielbeln;f;cebolla
Kürbi;Kürbis;m;calabaza
Erbse;Erbsen;f;guisante
Tomate;Tomaten;f;tomate
Aubergine;Auberginen;f;berengena
Korrote;Karroten;f;zanahoria
Reis;Reiser;m;arroz
Paprika;Paprikas;f;pimiento
Zucchini;Zucchinis;f;calabacin
Bohne;Bohnen;f;judias
Obst;Obst;n;fruta
Apfel;Äpfel;m;manzana
Birne;Birnen;f;pera
Blaubeere;Blaubeeren;f;arandano
Honigmelone;Honigmelonen;f;melón
Wassermelonen;Wassermelonen;f;sandia
Orange;Orangen;f;naranja
Erdbeere;Erdbeeren;f;fresa
Brombeere;Brombeeren;f;mora
Pfirsich;Pfirsiche;m;melocotón
Wientraube;Wientrauben;f;uva
Banane;Bananen;f;platano
Himbeere;Himbeeren;f;frambuesa
Frühstuc;Früshtuck;n;desayuno
Mittagessen;Mittagessen;n;comida
Abendessen;Abendessen;n;cena
Vorspeise;Vorspeisen;n;entrante
Hauptspeise;Hauptspeisen;n;plato principal
Dessert;Desserts;n;postre
Fruhling;Fruhling;n;primavera
Sommer;Sommer;n;verano
Herbst;Herbst;n;otoño
Winte;Winte;n;invierno
Norden;Norden;n;norte
Osten;Osten;n;este
Sü;Sü;n;sur
Westen;Westen;n;oeste
Januar;Januar;n;enero
Februar;Februar;n;febrero
Mär;Mär;n;marzo
April;April;n;abril
Mai;Mai;n;mayo
Juni;Juni;n;junio
July;July;n;julio
August;August;n;agosto
September;September;n;septiembre
Oktober;Oktober;n;octubre
November;November;n;noviembre
Dezember;Dezember;n;diciembre
Montag;Montage;n;lunes
Dienstag;Dienstage;n;martes
Mittwoch;Mittwoche;n;miercoles
Donnerstag;Donnerstage;n;jueves
Freistag;Freistage;n;viernes
Samstag;Samstage;n;sabado
Sonntag;Sonntage;n;domingo
Morgen;Morgen;n;mañana
Vormittag;Vormittage;n;mediamañana
Mittag;Mittage;n;mediodía
Nachtmittag;Nachtmittage;n;mediatarde
Abend;Abende;n;tarde
Nacht;Nächt;f;noche
